#Province id 0 is ignored, hard coded.
0;0;0;0;;x;;;;;;;;;;;;;;;;;,
1;235;209;214;1;x;;;;;;;;;;;;;;;;;;;,
2;244;175;121;2;x;;;;;;;;;;;;;;;;;;;,
3;234;250;214;3;x;;;;;;;;;;;;;;;;;;;,
4;167;127;253;4;x;;;;;;;;;;;;;;;;;;;,
5;64;249;197;5;x;;;;;;;;;;;;;;;;;;;,
6;205;211;153;6;x;;;;;;;;;;;;;;;;;;;,
7;185;171;246;7;x;;;;;;;;;;;;;;;;;;;,
8;236;188;127;8;x;;;;;;;;;;;;;;;;;;;,
9;240;191;99;9;x;;;;;;;;;;;;;;;;;;;,
10;226;221;116;10;x;;;;;;;;;;;;;;;;;;;,
11;84;174;254;11;x;;;;;;;;;;;;;;;;;;;,
12;219;122;215;12;x;;;;;;;;;;;;;;;;;;;,
13;219;122;215;13;x;;;;;;;;;;;;;;;;;;;,
14;188;195;228;14;x;;;;;;;;;;;;;;;;;;;,
15;67;234;224;15;x;;;;;;;;;;;;;;;;;;;,
16;178;227;230;16;x;;;;;;;;;;;;;;;;;;;,
17;193;90;238;17;x;;;;;;;;;;;;;;;;;;;,
18;215;142;218;18;x;;;;;;;;;;;;;;;;;;;,
19;246;229;235;19;x;;;;;;;;;;;;;;;;;;;,
20;201;253;254;20;x;;;;;;;;;;;;;;;;;;;,
21;158;221;159;21;x;;;;;;;;;;;;;;;;;;;,
22;106;240;174;22;x;;;;;;;;;;;;;;;;;;;,
23;235;209;214;23;x;;;;;;;;;;;;;;;;;;;,
24;178;169;235;24;x;;;;;;;;;;;;;;;;;;;,
25;27;25;44;25;x;;;;;;;;;;;;;;;;;;;,
26;17;10;4;26;x;;;;;;;;;;;;;;;;;;;,
27;17;24;25;27;x;;;;;;;;;;;;;;;;;;;,
28;235;209;214;28;x;;;;;;;;;;;;;;;;;;;,
29;5;27;0;29;x;;;;;;;;;;;;;;;;;;;,
30;41;47;9;30;x;;;;;;;;;;;;;;;;;;;,
31;235;209;214;31;x;;;;;;;;;;;;;;;;;;;,
32;82;7;4;32;x;;;;;;;;;;;;;;;;;;;,
33;51;38;1;33;x;;;;;;;;;;;;;;;;;;;,
34;7;19;22;34;x;;;;;;;;;;;;;;;;;;;,
35;23;11;3;35;x;;;;;;;;;;;;;;;;;;;,
36;10;15;4;36;x;;;;;;;;;;;;;;;;;;;,
37;0;22;35;37;x;;;;;;;;;;;;;;;;;;;,
38;52;18;22;38;x;;;;;;;;;;;;;;;;;;;,
39;85;2;6;39;x;;;;;;;;;;;;;;;;;;;,
40;18;56;12;40;x;;;;;;;;;;;;;;;;;;;,
41;4;58;20;41;x;;;;;;;;;;;;;;;;;;;,
42;27;49;15;42;x;;;;;;;;;;;;;;;;;;;,
43;14;19;17;43;x;;;;;;;;;;;;;;;;;;;,
44;48;27;10;44;x;;;;;;;;;;;;;;;;;;;,
45;235;209;214;45;x;;;;;;;;;;;;;;;;;;;,
46;21;5;48;46;x;;;;;;;;;;;;;;;;;;;,
47;2;23;54;47;x;;;;;;;;;;;;;;;;;;;,
48;14;62;10;48;x;;;;;;;;;;;;;;;;;;;,
49;56;8;21;49;x;;;;;;;;;;;;;;;;;;;,
50;11;50;32;50;x;;;;;;;;;;;;;;;;;;;,
51;16;70;9;51;x;;;;;;;;;;;;;;;;;;;,
52;31;11;36;52;x;;;;;;;;;;;;;;;;;;;,
53;15;24;23;53;x;;;;;;;;;;;;;;;;;;;,
54;25;1;37;54;x;;;;;;;;;;;;;;;;;;;,
